epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2041.69,2.1798,2.45015,2.78056,0.81401,0.83702,0.88067,0.54656,1.32698,1.2033,1.85733,0.000665347,0.000665347,0.000665347
2,4080.51,1.37785,1.10997,1.81528,0.83849,0.82378,0.89214,0.60107,1.202,0.95845,1.67209,0.00127927,0.00127927,0.00127927
3,6122.95,1.2414,0.92401,1.6704,0.91184,0.90048,0.95273,0.68334,1.06506,0.69677,1.52975,0.00184038,0.00184038,0.00184038
4,8166.29,1.11896,0.80004,1.56063,0.89858,0.93312,0.96252,0.72412,0.94067,0.65923,1.41795,0.0017624,0.0017624,0.0017624
5,10208.8,1.05794,0.73397,1.51432,0.92429,0.92798,0.97206,0.73873,0.9024,0.59709,1.3691,0.0016832,0.0016832,0.0016832
6,12244.4,1.00514,0.68348,1.46291,0.92181,0.93084,0.96732,0.75939,0.81957,0.55906,1.32509,0.001604,0.001604,0.001604
7,14276.5,0.96589,0.65009,1.42694,0.93185,0.93746,0.97434,0.76698,0.82382,0.51902,1.33156,0.0015248,0.0015248,0.0015248
8,16309.5,0.93384,0.61172,1.39863,0.93563,0.94819,0.97995,0.7965,0.76866,0.47167,1.25631,0.0014456,0.0014456,0.0014456
9,18342.5,0.9098,0.5939,1.37523,0.94503,0.94176,0.98063,0.79444,0.7717,0.46107,1.26966,0.0013664,0.0013664,0.0013664
10,20376.4,0.87628,0.56566,1.34395,0.95539,0.9507,0.98513,0.81467,0.72827,0.4219,1.22953,0.0012872,0.0012872,0.0012872
11,22408.8,0.85862,0.54649,1.32319,0.95571,0.95275,0.98625,0.80373,0.75474,0.42195,1.23356,0.001208,0.001208,0.001208
12,24439.8,0.84303,0.53151,1.3133,0.95625,0.95229,0.98676,0.8108,0.73844,0.41116,1.21397,0.0011288,0.0011288,0.0011288
13,26470.7,0.82239,0.51431,1.29245,0.95423,0.96138,0.98444,0.81114,0.73388,0.39868,1.22905,0.0010496,0.0010496,0.0010496
14,28506.5,0.80984,0.50394,1.28121,0.95613,0.9596,0.98634,0.81668,0.70864,0.39319,1.20371,0.0009704,0.0009704,0.0009704
15,30540.3,0.79167,0.48694,1.26432,0.96715,0.96827,0.9898,0.83818,0.6738,0.358,1.16626,0.0008912,0.0008912,0.0008912
16,32548.8,0.69936,0.37799,1.18066,0.95739,0.96932,0.9898,0.84477,0.67578,0.36986,1.16366,0.000812,0.000812,0.000812
17,34544.1,0.67765,0.36272,1.15862,0.97659,0.97123,0.99167,0.85478,0.66008,0.34612,1.15494,0.0007328,0.0007328,0.0007328
18,36548.9,0.65919,0.34834,1.14742,0.97169,0.97284,0.99219,0.85487,0.65772,0.33487,1.14099,0.0006536,0.0006536,0.0006536
19,38547.1,0.644,0.33647,1.1337,0.97579,0.97539,0.99279,0.86261,0.63638,0.32646,1.13001,0.0005744,0.0005744,0.0005744
20,40546.3,0.62679,0.32542,1.11847,0.982,0.97444,0.99259,0.86693,0.6308,0.32202,1.12465,0.0004952,0.0004952,0.0004952
21,42544.7,0.61379,0.31552,1.10522,0.98027,0.97509,0.99297,0.86776,0.63054,0.31438,1.1224,0.000416,0.000416,0.000416
22,44542.9,0.60401,0.30511,1.09508,0.98038,0.98099,0.99332,0.87386,0.60811,0.29754,1.10211,0.0003368,0.0003368,0.0003368
23,46542.1,0.58687,0.29719,1.07993,0.9844,0.97959,0.99331,0.87627,0.60236,0.29393,1.10102,0.0002576,0.0002576,0.0002576
24,48542,0.57278,0.28663,1.07478,0.97954,0.98471,0.99325,0.88356,0.58884,0.29002,1.09337,0.0001784,0.0001784,0.0001784
25,50573.3,0.56237,0.27952,1.06399,0.98218,0.98134,0.99341,0.88564,0.58571,0.28696,1.08962,9.92e-05,9.92e-05,9.92e-05
