epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2306,3.15665,2.63644,3.42141,0.00348,0.1086,0.00239,0.00073,3.44418,4.38032,4.53941,0.00066129,0.00066129,0.00066129
2,131.017,2.23634,1.78308,2.274,0.46087,0.45201,0.40708,0.14557,2.16199,1.94928,2.46159,0.00131919,0.00131919,0.00131919
3,197.096,2.03003,1.59012,2.04001,0.45373,0.40485,0.37452,0.14655,2.19202,2.10889,2.45472,0.00196829,0.00196829,0.00196829
4,258.803,1.90331,1.45111,1.90948,0.43353,0.4716,0.41441,0.17389,1.91733,2.03613,2.21675,0.0019604,0.0019604,0.0019604
5,319.724,1.8155,1.36106,1.83078,0.614,0.57954,0.60436,0.28073,1.77998,1.72679,2.11513,0.0019472,0.0019472,0.0019472
6,390.109,1.75106,1.29405,1.78184,0.65225,0.58585,0.63669,0.31197,1.66771,1.53968,1.98548,0.001934,0.001934,0.001934
7,452.742,1.6956,1.23194,1.73451,0.65137,0.63401,0.66627,0.32545,1.67061,1.51575,1.95547,0.0019208,0.0019208,0.0019208
8,523.107,1.64721,1.15619,1.6926,0.64622,0.62869,0.65268,0.32769,1.63947,1.40415,1.97332,0.0019076,0.0019076,0.0019076
9,585.367,1.60678,1.11634,1.65992,0.6303,0.60755,0.64136,0.3255,1.56959,1.63333,1.87798,0.0018944,0.0018944,0.0018944
10,651.248,1.58825,1.07911,1.64086,0.74317,0.69578,0.75517,0.39711,1.53166,1.24366,1.84731,0.0018812,0.0018812,0.0018812
11,712.8,1.55541,1.04331,1.61819,0.70853,0.66686,0.72864,0.37428,1.55952,1.27155,1.87129,0.001868,0.001868,0.001868
12,776.378,1.54769,1.0274,1.6092,0.69419,0.65593,0.70047,0.35915,1.60408,1.31214,1.89579,0.0018548,0.0018548,0.0018548
13,838.444,1.52856,1.00737,1.59845,0.66403,0.65925,0.70226,0.37296,1.502,1.3615,1.79227,0.0018416,0.0018416,0.0018416
14,902.684,1.50575,0.97326,1.57945,0.7155,0.68017,0.73834,0.40072,1.47782,1.18839,1.75402,0.0018284,0.0018284,0.0018284
15,963.531,1.48818,0.95496,1.56378,0.75412,0.71438,0.77753,0.43897,1.41632,1.13916,1.74043,0.0018152,0.0018152,0.0018152
16,1024.58,1.45458,0.91941,1.53676,0.69069,0.67121,0.71324,0.39188,1.43264,1.23711,1.73172,0.001802,0.001802,0.001802
17,1085.41,1.46176,0.92181,1.54741,0.69865,0.68814,0.73926,0.38803,1.51245,1.23427,1.81541,0.0017888,0.0017888,0.0017888
18,1147.43,1.44124,0.89572,1.52696,0.77634,0.73132,0.80085,0.45417,1.44147,1.05655,1.73778,0.0017756,0.0017756,0.0017756
19,1214.26,1.42459,0.87651,1.51722,0.77545,0.73364,0.79166,0.4282,1.47731,1.0675,1.74874,0.0017624,0.0017624,0.0017624
20,1289.59,1.41303,0.86719,1.50961,0.80994,0.7177,0.81138,0.46715,1.37503,1.04621,1.67077,0.0017492,0.0017492,0.0017492
21,1367.54,1.41316,0.85408,1.49771,0.80514,0.7383,0.81114,0.47518,1.36735,1.00354,1.68175,0.001736,0.001736,0.001736
22,1447.3,1.40345,0.84813,1.48755,0.76831,0.69777,0.77035,0.43404,1.43585,1.08346,1.73281,0.0017228,0.0017228,0.0017228
23,1526.97,1.39329,0.8388,1.4891,0.75989,0.73997,0.78465,0.45051,1.40594,1.07548,1.7237,0.0017096,0.0017096,0.0017096
24,1601.9,1.38915,0.81805,1.47882,0.79357,0.74306,0.81629,0.45551,1.42511,1.01237,1.71827,0.0016964,0.0016964,0.0016964
25,1669.24,1.36258,0.80244,1.47086,0.78268,0.75756,0.8131,0.47167,1.39551,0.9929,1.65715,0.0016832,0.0016832,0.0016832
26,1737.26,1.35922,0.79723,1.46172,0.80084,0.77593,0.83721,0.47899,1.39497,0.97135,1.71717,0.00167,0.00167,0.00167
27,1806.37,1.35524,0.79196,1.46588,0.7753,0.7363,0.79677,0.44605,1.43013,1.02735,1.72533,0.0016568,0.0016568,0.0016568
