Threshold,Precision,Recall,N_PRED
0.05,0.6879770992366412,0.8542654028436019,1048
0.1,0.6879770992366412,0.8542654028436019,1048
0.15,0.6879770992366412,0.8542654028436019,1048
0.2,0.6879770992366412,0.8542654028436019,1048
0.25,0.6879770992366412,0.8542654028436019,1048
0.3,0.734504132231405,0.8424170616113744,968
0.35,0.7732300884955752,0.8281990521327014,904
0.4,0.8059171597633136,0.806872037914692,845
0.45,0.8308270676691729,0.7855450236966824,798
0.5,0.8504672897196262,0.754739336492891,749
0.55,0.883551673944687,0.7191943127962085,687
0.6,0.8968253968253969,0.669431279620853,630
0.65,0.9187725631768953,0.6030805687203792,554
0.7,0.9260042283298098,0.518957345971564,473
0.75,0.9534246575342465,0.41232227488151657,365
0.8,0.973568281938326,0.2618483412322275,227
0.85,1.0,0.11611374407582939,98
0.9,1.0,0.017772511848341232,15
0.95,0.0,0.0,0
