Threshold,Precision,Recall
0.05,0.7766302744172322,0.8741281966124211
0.1,0.7766302744172322,0.8741281966124211
0.15,0.7766302744172322,0.8741281966124211
0.2,0.7766302744172322,0.8741281966124211
0.25,0.7766302744172322,0.8741281966124211
0.3,0.8063216609854353,0.8641647293258053
0.35,0.8304755742478163,0.852540684158087
0.4,0.8485762144053601,0.8412487545665892
0.45,0.8646668991977677,0.8233145134506809
0.5,0.8833883388338833,0.8000664231152441
0.55,0.9050387596899225,0.7754898704749252
0.6,0.9203285420944558,0.7442710063101959
0.65,0.9329159212880143,0.6927930919960146
0.7,0.9489744872436218,0.6300232480903354
0.75,0.9626682986536108,0.5224178013948855
0.8,0.9673144876325088,0.36366655596147457
0.85,0.975517890772128,0.17203586848223182
0.9,0.9906542056074766,0.03520425107937562
0.95,1.0,0.0016605778811026237
