Conf_Threshold,Precision,Recall
0.05,0.7058129241664207,0.7944204583194951
0.1,0.7058129241664207,0.7944204583194951
0.15,0.7058129241664207,0.7944204583194951
0.2,0.7058129241664207,0.7944204583194951
0.25,0.7058129241664207,0.7944204583194951
0.3,0.7325689494886892,0.7851212221853205
0.35,0.7541248786800389,0.7741614081700432
0.4,0.7701842546063652,0.7635337097309863
0.45,0.7910708057202651,0.7532381268681502
0.5,0.8107810781078107,0.7343075390235803
0.55,0.8329457364341085,0.7137163732979077
0.6,0.8529774127310061,0.6898040518100299
0.65,0.8765652951699463,0.6509465293922285
0.7,0.8989494747373686,0.596811690468283
0.75,0.9339045287637698,0.5068083693125207
0.8,0.9558303886925795,0.35934905347060775
0.85,0.9698681732580038,0.17103952175357023
0.9,0.9906542056074766,0.03520425107937562
0.95,1.0,0.0016605778811026237
