Conf_Threshold,Precision,Recall
0.05,0.8650283578821286,0.8424170616113744
0.1,0.8650283578821286,0.8424170616113744
0.15,0.8650283578821286,0.8424170616113744
0.2,0.8650283578821286,0.8424170616113744
0.25,0.8650283578821286,0.8424170616113744
0.3,0.8650283578821286,0.8424170616113744
0.35,0.8650283578821286,0.8424170616113744
0.4,0.8541176470588235,0.8601895734597157
0.45,0.884441213299929,0.8293838862559242
0.5,0.8848101265822785,0.8281990521327014
0.55,0.8979057591623036,0.8127962085308057
0.6,0.9049586776859504,0.7784360189573459
0.65,0.9176470588235294,0.7393364928909952
0.7,0.9423076923076923,0.6966824644549763
0.75,0.9637404580152672,0.5983412322274881
0.8,0.9799498746867168,0.46327014218009477
0.85,0.9952380952380953,0.2476303317535545
0.9,1.0,0.04028436018957346
0.95,0.0,0.0
