Conf_Threshold,Precision,Recall
0.05,0.789795918367347,0.9105882352941177
0.1,0.789795918367347,0.9105882352941177
0.15,0.789795918367347,0.9105882352941177
0.2,0.789795918367347,0.9105882352941177
0.25,0.789795918367347,0.9105882352941177
0.3,0.809322033898305,0.8988235294117647
0.35,0.8329646017699115,0.8858823529411765
0.4,0.8520642201834863,0.8741176470588236
0.45,0.868421052631579,0.8541176470588235
0.5,0.8875,0.8352941176470589
0.55,0.9011703511053316,0.8152941176470588
0.6,0.9093406593406593,0.7788235294117647
0.65,0.9214814814814815,0.731764705882353
0.7,0.9376026272577996,0.6717647058823529
0.75,0.9568627450980393,0.5741176470588235
0.8,0.9712041884816754,0.4364705882352941
0.85,0.9948717948717949,0.22823529411764706
0.9,1.0,0.041176470588235294
0.95,0.0,0.0
