Threshold,Precision,Recall,N_PRED
0.05,1,2,332
0.1,1,2,332
0.15,1,2,332
0.2,1,2,332
0.25,1,2,332
0.3,1,2,332
0.35,1,2,332
0.4,1,2,332
0.45,1,2,332
0.5,1,2,332
0.55,1,2,332
0.6,1,2,332
0.65,1,2,332
0.7,1,2,332
0.75,1,2,332
0.8,1,2,332
0.85,1,2,332
0.9,1,2,332
0.95,1,2,332
