epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2622,2.97108,4.06627,4.03861,0.00311,0.93036,0.02239,0.00604,2.39859,4.13652,3.63888,0.000657534,0.000657534,0.000657534
2,60.1861,2.73667,3.59909,3.18972,0.015,0.02646,0.01906,0.00647,2.38401,5.74764,3.23311,0.00131546,0.00131546,0.00131546
3,86.9928,2.55334,3.21156,2.88031,0.07296,0.31337,0.05493,0.0182,2.27091,3.42416,2.76176,0.00196459,0.00196459,0.00196459
4,115.116,2.44917,3.0146,2.8027,0.09685,0.1546,0.0527,0.01672,2.25369,4.57119,2.77698,0.0019604,0.0019604,0.0019604
5,142.28,2.2836,2.77729,2.65834,0.19149,0.24652,0.12808,0.04785,2.17716,3.24165,2.77411,0.0019472,0.0019472,0.0019472
6,169.225,2.16856,2.57818,2.58802,0.27085,0.2493,0.17396,0.05756,2.20042,2.97987,3.02225,0.001934,0.001934,0.001934
7,195.824,2.05607,2.39138,2.50365,0.42848,0.37047,0.37314,0.16389,1.94954,2.54916,2.58309,0.0019208,0.0019208,0.0019208
8,222.32,1.98686,2.24111,2.39803,0.53743,0.49861,0.47616,0.20973,1.92452,2.25122,2.53231,0.0019076,0.0019076,0.0019076
9,248.65,1.91484,2.14661,2.34723,0.61351,0.50407,0.55235,0.25678,1.82583,2.08627,2.4463,0.0018944,0.0018944,0.0018944
10,275.04,1.87117,2.03426,2.32072,0.61513,0.55989,0.5934,0.28669,1.79523,2.0493,2.43801,0.0018812,0.0018812,0.0018812
11,301.389,1.85443,2.00213,2.3032,0.64933,0.61142,0.62941,0.29736,1.80249,1.98074,2.45269,0.001868,0.001868,0.001868
12,327.636,1.81179,1.8689,2.24028,0.69198,0.56685,0.61301,0.29852,1.79023,1.90667,2.41907,0.0018548,0.0018548,0.0018548
13,354.301,1.78133,1.84476,2.22441,0.57311,0.5585,0.54606,0.24999,1.89902,2.13903,2.51076,0.0018416,0.0018416,0.0018416
14,380.721,1.77668,1.78918,2.20334,0.75456,0.56964,0.64822,0.2983,1.88755,1.85232,2.44038,0.0018284,0.0018284,0.0018284
15,407.376,1.70809,1.71536,2.13616,0.65272,0.61421,0.626,0.32936,1.73619,1.80703,2.34613,0.0018152,0.0018152,0.0018152
16,433.907,1.67738,1.67243,2.10588,0.68776,0.57939,0.63207,0.33608,1.69303,1.78504,2.30402,0.001802,0.001802,0.001802
17,460.524,1.66898,1.62564,2.08627,0.76303,0.55153,0.63883,0.32923,1.75333,1.95644,2.33047,0.0017888,0.0017888,0.0017888
18,487.119,1.655,1.60806,2.07069,0.69347,0.63092,0.65395,0.34838,1.76196,1.8178,2.33804,0.0017756,0.0017756,0.0017756
19,513.476,1.64088,1.54738,2.06633,0.78809,0.64206,0.70788,0.39764,1.60845,1.62795,2.17221,0.0017624,0.0017624,0.0017624
20,539.908,1.64517,1.53351,2.05244,0.80862,0.64067,0.72074,0.39701,1.65053,1.64443,2.24309,0.0017492,0.0017492,0.0017492
21,566.194,1.58738,1.48449,2.01369,0.77196,0.69777,0.74998,0.42167,1.61419,1.50068,2.2106,0.001736,0.001736,0.001736
22,592.617,1.56425,1.42112,1.97824,0.7921,0.67393,0.72217,0.37717,1.68015,1.53277,2.25456,0.0017228,0.0017228,0.0017228
23,619.278,1.58664,1.46671,2.00332,0.79607,0.64699,0.72634,0.39011,1.70751,1.49902,2.28965,0.0017096,0.0017096,0.0017096
24,646.255,1.54773,1.41423,1.96279,0.78535,0.65734,0.71989,0.38986,1.65437,1.51728,2.23559,0.0016964,0.0016964,0.0016964
25,673.825,1.55204,1.40773,1.95885,0.73218,0.68245,0.70597,0.38051,1.60834,1.58366,2.22982,0.0016832,0.0016832,0.0016832
26,701.604,1.52156,1.36848,1.93614,0.8282,0.70891,0.77057,0.44088,1.57901,1.40333,2.08615,0.00167,0.00167,0.00167
27,730.128,1.52659,1.34693,1.9207,0.82552,0.69777,0.7772,0.44698,1.53365,1.41553,2.05943,0.0016568,0.0016568,0.0016568
28,757.094,1.5153,1.35077,1.92096,0.81985,0.67827,0.74953,0.43864,1.57443,1.38975,2.10745,0.0016436,0.0016436,0.0016436
29,783.739,1.47871,1.33655,1.87223,0.82796,0.7172,0.77209,0.44299,1.55205,1.35515,2.11004,0.0016304,0.0016304,0.0016304
30,810.471,1.48187,1.32073,1.88486,0.80666,0.71031,0.75424,0.42702,1.60436,1.43438,2.15647,0.0016172,0.0016172,0.0016172
31,837.236,1.47017,1.27115,1.85882,0.80229,0.7312,0.78629,0.4419,1.63295,1.36594,2.14364,0.001604,0.001604,0.001604
32,864.001,1.44532,1.24633,1.84912,0.83107,0.74001,0.80451,0.47474,1.50779,1.27144,2.0044,0.0015908,0.0015908,0.0015908
33,890.843,1.41884,1.20809,1.80221,0.83664,0.69904,0.78146,0.46514,1.49997,1.3614,2.05748,0.0015776,0.0015776,0.0015776
34,917.706,1.42826,1.21302,1.81464,0.8447,0.71209,0.78015,0.43234,1.63089,1.31052,2.15598,0.0015644,0.0015644,0.0015644
35,944.44,1.44635,1.21488,1.82596,0.85001,0.74652,0.81373,0.47177,1.59153,1.25319,2.10066,0.0015512,0.0015512,0.0015512
36,971.395,1.41435,1.19738,1.78581,0.83594,0.70891,0.79675,0.48224,1.51617,1.28757,2.00798,0.001538,0.001538,0.001538
37,998.241,1.41932,1.17199,1.80005,0.81652,0.7507,0.8055,0.46296,1.6032,1.26115,2.08324,0.0015248,0.0015248,0.0015248
38,1025.15,1.4169,1.2059,1.78953,0.80231,0.72349,0.79037,0.4605,1.51326,1.27016,1.99571,0.0015116,0.0015116,0.0015116
39,1051.96,1.39723,1.16109,1.77003,0.83819,0.75209,0.8113,0.47882,1.51081,1.23459,1.99911,0.0014984,0.0014984,0.0014984
40,1078.89,1.3972,1.21933,1.77745,0.84795,0.76897,0.82049,0.49808,1.48477,1.20927,1.95686,0.0014852,0.0014852,0.0014852
41,1105.47,1.37719,1.16815,1.7698,0.85881,0.73955,0.81833,0.50226,1.45161,1.20868,1.97266,0.001472,0.001472,0.001472
42,1132.13,1.38964,1.13967,1.75716,0.83339,0.76602,0.82835,0.50677,1.43776,1.20831,1.94583,0.0014588,0.0014588,0.0014588
43,1158.62,1.35295,1.13804,1.72956,0.84329,0.77437,0.82451,0.50497,1.45131,1.184,1.97663,0.0014456,0.0014456,0.0014456
44,1186.29,1.33844,1.09419,1.71629,0.81579,0.75868,0.80099,0.47593,1.50677,1.2422,1.97435,0.0014324,0.0014324,0.0014324
45,1212.95,1.33792,1.13124,1.71568,0.83259,0.76602,0.82212,0.51652,1.40075,1.17626,1.90216,0.0014192,0.0014192,0.0014192
46,1239.68,1.3329,1.09859,1.71618,0.82121,0.77994,0.83336,0.50487,1.43642,1.15657,1.95342,0.001406,0.001406,0.001406
47,1266.47,1.37804,1.14373,1.75899,0.85316,0.77577,0.83664,0.51939,1.45571,1.14745,1.91298,0.0013928,0.0013928,0.0013928
48,1293.74,1.35982,1.13198,1.72993,0.85789,0.74791,0.8195,0.49542,1.47498,1.19165,1.9615,0.0013796,0.0013796,0.0013796
49,1320.84,1.33933,1.10416,1.70726,0.85759,0.7312,0.81186,0.48032,1.50916,1.21536,1.99599,0.0013664,0.0013664,0.0013664
50,1347.82,1.31334,1.06069,1.67194,0.84971,0.75595,0.82961,0.51792,1.44068,1.17244,1.8921,0.0013532,0.0013532,0.0013532
51,1374.7,1.32682,1.04868,1.68347,0.80728,0.78759,0.82451,0.49967,1.49256,1.16754,1.93113,0.00134,0.00134,0.00134
52,1401.54,1.31408,1.0619,1.68561,0.84795,0.79222,0.84556,0.52214,1.42295,1.12006,1.91091,0.0013268,0.0013268,0.0013268
53,1428.26,1.30143,1.04204,1.6757,0.87175,0.74513,0.8332,0.5122,1.48569,1.13471,1.90451,0.0013136,0.0013136,0.0013136
54,1455.02,1.32683,1.05046,1.68409,0.85846,0.75178,0.82589,0.48539,1.53145,1.16781,1.9818,0.0013004,0.0013004,0.0013004
55,1481.73,1.29381,1.05795,1.66972,0.87886,0.76795,0.84772,0.5243,1.413,1.11435,1.8845,0.0012872,0.0012872,0.0012872
56,1508.52,1.31025,1.04479,1.67854,0.84687,0.79666,0.8315,0.51597,1.45294,1.14583,1.9209,0.001274,0.001274,0.001274
57,1535.26,1.34166,1.04703,1.68302,0.88313,0.73259,0.83858,0.52102,1.43578,1.09663,1.85971,0.0012608,0.0012608,0.0012608
58,1562.15,1.27447,0.98514,1.6337,0.86333,0.76602,0.83403,0.51003,1.47607,1.15764,1.98082,0.0012476,0.0012476,0.0012476
59,1588.99,1.31328,1.06088,1.67995,0.84472,0.77716,0.82945,0.50637,1.46166,1.12577,1.93115,0.0012344,0.0012344,0.0012344
60,1615.85,1.24942,0.97862,1.61178,0.8543,0.78273,0.8424,0.53808,1.38573,1.11321,1.86117,0.0012212,0.0012212,0.0012212
61,1642.56,1.27547,1.01933,1.64305,0.87204,0.72145,0.81487,0.49638,1.49508,1.1433,1.97409,0.001208,0.001208,0.001208
62,1669.22,1.26318,0.98667,1.63711,0.86521,0.77855,0.85339,0.5303,1.42318,1.06853,1.88554,0.0011948,0.0011948,0.0011948
63,1695.97,1.29263,1.05221,1.6614,0.84501,0.75176,0.81489,0.50344,1.46988,1.17029,1.98012,0.0011816,0.0011816,0.0011816
