epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.98,3.02113,3.54858,3.74378,0.00242,0.28,0.00375,0.00104,2.82231,4.11982,4.47765,0.000659498,0.000659498,0.000659498
2,1184.65,2.43201,2.52322,2.84557,0.33428,0.21793,0.19682,0.06067,2.28102,3.17717,3.00249,0.00131741,0.00131741,0.00131741
3,1783.27,2.13974,2.11736,2.54047,0.45836,0.51724,0.45164,0.17542,1.99303,2.79403,2.51687,0.00196653,0.00196653,0.00196653
4,2370.73,2.00686,1.90183,2.39111,0.46963,0.52966,0.47953,0.20483,1.99227,2.66775,2.51147,0.0019604,0.0019604,0.0019604
5,2931.62,1.91568,1.73632,2.29478,0.59576,0.55903,0.58512,0.23858,1.879,2.54493,2.3595,0.0019472,0.0019472,0.0019472
6,3439,1.77893,1.57997,2.17741,0.5889,0.65795,0.60546,0.25915,1.87877,2.14861,2.36862,0.001934,0.001934,0.001934
7,3940.32,1.73136,1.51534,2.10422,0.73759,0.73793,0.77662,0.38478,1.7342,1.47241,2.10401,0.0019208,0.0019208,0.0019208
