epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7507,5.63133,5.60982,4.23592,0,0,0,0,5.55806,4.96737,4.15856,4e-05,4e-05,4e-05
2,60.2183,5.4831,5.75209,4.30479,0,0,0,0,5.55661,4.96688,4.15783,9.934e-05,9.934e-05,9.934e-05
3,84.6166,5.2271,5.16205,4.18834,0,0,0,0,5.55445,4.96603,4.15659,0.000157888,0.000157888,0.000157888
4,108.957,5.7235,5.32354,4.18034,0,0,0,0,5.55055,4.96429,4.15415,0.000215644,0.000215644,0.000215644
5,133.162,5.22445,5.40452,4.12854,0,0,0,0,5.54416,4.96031,4.15015,0.000272608,0.000272608,0.000272608
