epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5404.91,3.01357,2.1641,3.05934,0.75873,0.72231,0.77527,0.43686,2.78217,1.91229,3.22045,0.007228,0.007228,0.007228
44,5545.88,3.01057,2.14173,3.06574,0.76189,0.71102,0.77109,0.43514,2.7692,1.98363,3.25072,0.007162,0.007162,0.007162
45,5687.05,3.00971,2.11724,3.06397,0.76259,0.69462,0.76277,0.44073,2.72385,1.99556,3.24508,0.007096,0.007096,0.007096
46,5830.82,3.01068,2.11071,3.05693,0.74239,0.7313,0.76683,0.43449,2.78675,1.97816,3.27005,0.00703,0.00703,0.00703
47,5972.21,2.98864,2.08657,3.02472,0.75697,0.72258,0.77754,0.44196,2.76696,1.9473,3.29036,0.006964,0.006964,0.006964
48,6115.61,2.95643,2.05609,3.01511,0.75782,0.725,0.77159,0.44408,2.74385,1.92351,3.21866,0.006898,0.006898,0.006898
49,6257.28,2.98726,2.08617,3.03538,0.76847,0.72715,0.7828,0.45,2.71145,1.87223,3.19386,0.006832,0.006832,0.006832
50,6397.71,2.95116,2.05156,3.00824,0.74099,0.71371,0.77153,0.44322,2.73147,1.92537,3.20481,0.006766,0.006766,0.006766
51,6537.44,2.96514,2.05539,3.02304,0.76687,0.73925,0.79785,0.46546,2.66252,1.8236,3.16651,0.0067,0.0067,0.0067
52,6678.04,2.94842,2.03043,2.99263,0.77732,0.71102,0.77951,0.45014,2.70768,1.88822,3.19815,0.006634,0.006634,0.006634
53,6821.42,2.95375,2.02012,3.00771,0.76155,0.72876,0.7819,0.44778,2.71512,1.86908,3.20072,0.006568,0.006568,0.006568
54,6963.07,2.92293,2.00967,2.9839,0.78005,0.73502,0.79507,0.45364,2.73634,1.87082,3.20414,0.006502,0.006502,0.006502
55,7104.41,2.92815,1.98846,2.98476,0.76657,0.73272,0.79177,0.45634,2.69458,1.82079,3.16739,0.006436,0.006436,0.006436
56,7247.27,2.93135,2.00423,2.98864,0.76499,0.73898,0.79843,0.45933,2.73178,1.85324,3.2053,0.00637,0.00637,0.00637
57,7387.69,2.91896,2.00445,2.97226,0.76505,0.71452,0.78361,0.45925,2.69081,1.8406,3.18049,0.006304,0.006304,0.006304
58,7531.39,2.92192,1.98891,2.96628,0.79461,0.72796,0.79533,0.4613,2.69938,1.82196,3.17447,0.006238,0.006238,0.006238
59,7675.41,2.88137,1.95658,2.95504,0.77033,0.73333,0.79862,0.46837,2.65325,1.78069,3.14521,0.006172,0.006172,0.006172
60,7818.93,2.90458,1.94055,2.95648,0.74966,0.73763,0.78287,0.45023,2.72342,1.8631,3.17425,0.006106,0.006106,0.006106
61,7962.01,2.90114,1.94394,2.94553,0.76816,0.73253,0.78963,0.45377,2.70037,1.83561,3.15062,0.00604,0.00604,0.00604
62,8104.35,2.89227,1.93534,2.95512,0.77077,0.73172,0.79299,0.46077,2.69187,1.8344,3.12503,0.005974,0.005974,0.005974
63,8246.68,2.90274,1.93914,2.94599,0.75971,0.73602,0.79006,0.45987,2.66442,1.82613,3.11672,0.005908,0.005908,0.005908
64,8390.03,2.86717,1.91495,2.92539,0.77743,0.72769,0.79405,0.45374,2.73244,1.81951,3.16747,0.005842,0.005842,0.005842
65,8533.72,2.85963,1.89101,2.91858,0.78188,0.73522,0.79784,0.46109,2.69462,1.74868,3.1405,0.005776,0.005776,0.005776
66,8677.35,2.87169,1.89958,2.92052,0.78315,0.74462,0.803,0.46904,2.6731,1.7649,3.12503,0.00571,0.00571,0.00571
67,8818.78,2.87157,1.89919,2.91489,0.78022,0.74462,0.79994,0.47018,2.66322,1.75751,3.11036,0.005644,0.005644,0.005644
68,8960.04,2.84916,1.87185,2.9034,0.76484,0.75511,0.80575,0.46828,2.68704,1.73309,3.11987,0.005578,0.005578,0.005578
69,9100.28,2.84461,1.85766,2.91375,0.79554,0.72796,0.80502,0.47004,2.68536,1.74796,3.11191,0.005512,0.005512,0.005512
70,9242.29,2.8444,1.86808,2.8772,0.78688,0.74704,0.80192,0.46382,2.73888,1.74429,3.15411,0.005446,0.005446,0.005446
71,9382.5,2.83231,1.86593,2.89558,0.78913,0.73638,0.80793,0.46909,2.69983,1.76277,3.15032,0.00538,0.00538,0.00538
72,9522.92,2.82762,1.84218,2.90098,0.79022,0.74704,0.80741,0.47037,2.69888,1.73364,3.14139,0.005314,0.005314,0.005314
73,9666.65,2.82016,1.83339,2.87753,0.79497,0.74418,0.80671,0.47367,2.6582,1.71598,3.09604,0.005248,0.005248,0.005248
74,9808.31,2.81222,1.82121,2.86114,0.8017,0.72708,0.80616,0.47138,2.68798,1.72295,3.12466,0.005182,0.005182,0.005182
75,9949.5,2.81905,1.82876,2.86919,0.78312,0.74812,0.80268,0.46264,2.69725,1.72038,3.11322,0.005116,0.005116,0.005116
76,10094.3,2.83731,1.83501,2.87003,0.78371,0.74274,0.8002,0.46122,2.6858,1.74754,3.12027,0.00505,0.00505,0.00505
77,10235.4,2.81788,1.81682,2.87111,0.77241,0.75359,0.80531,0.46852,2.67281,1.7299,3.08728,0.004984,0.004984,0.004984
78,10377,2.81512,1.81754,2.84758,0.7921,0.74005,0.80671,0.47084,2.67562,1.72312,3.08422,0.004918,0.004918,0.004918
79,10525.5,2.79955,1.79526,2.8527,0.77848,0.75199,0.80714,0.47401,2.66955,1.7207,3.09464,0.004852,0.004852,0.004852
80,10669.3,2.7967,1.79145,2.85015,0.79013,0.74892,0.80773,0.46467,2.72708,1.73236,3.13121,0.004786,0.004786,0.004786
