Conf_Threshold,Precision,Recall
0.05,0.7058129241664207,0.8741281966124211
0.1,0.7058129241664207,0.8741281966124211
0.15,0.7058129241664207,0.8741281966124211
0.2,0.7058129241664207,0.8741281966124211
0.25,0.7058129241664207,0.8741281966124211
0.3,0.7325689494886892,0.8641647293258053
0.35,0.7541248786800389,0.852540684158087
0.4,0.7701842546063652,0.8412487545665892
0.45,0.7910708057202651,0.8233145134506809
0.5,0.8107810781078107,0.8000664231152441
0.55,0.8329457364341085,0.7754898704749252
0.6,0.8529774127310061,0.7442710063101959
0.65,0.8765652951699463,0.6927930919960146
0.7,0.8989494747373686,0.6300232480903354
0.75,0.9339045287637698,0.5224178013948855
0.8,0.9558303886925795,0.36366655596147457
0.85,0.9698681732580038,0.17203586848223182
0.9,0.9906542056074766,0.03520425107937562
0.95,1.0,0.0016605778811026237
