epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,579.876,2.89636,3.35685,3.62919,0.00186,0.24812,0.00135,0.00037,2.80118,4.06549,4.33363,0.000659649,0.000659649,0.000659649
2,1119.28,2.03407,2.02867,2.49707,0.6259,0.5094,0.54411,0.27473,1.7119,2.11053,2.33709,0.00131756,0.00131756,0.00131756
3,1669.26,1.73859,1.6391,2.18015,0.6421,0.58647,0.62581,0.31467,1.69238,2.43974,2.31014,0.00196668,0.00196668,0.00196668
4,2273.56,1.6465,1.48868,2.06498,0.74154,0.73345,0.78982,0.45114,1.45891,1.44521,2.02038,0.0019604,0.0019604,0.0019604
