epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.499,3.01152,3.95566,3.89457,0.00122,0.24407,0.00086,0.00022,2.82969,4.28195,4.26654,0.000654321,0.000654321,0.000654321
2,475.114,2.5447,2.89996,3.02413,0.00124,0.20339,0.00084,0.00022,2.89528,4.25775,4.60045,0.00126868,0.00126868,0.00126868
3,717.908,2.18947,2.24789,2.6704,0.44664,0.36949,0.34332,0.13318,2.21275,2.73881,2.80949,0.00183023,0.00183023,0.00183023
4,965.204,2.04941,1.97356,2.52331,0.57324,0.62034,0.58639,0.24184,1.98135,1.89841,2.46002,0.0017624,0.0017624,0.0017624
5,1213.76,1.88306,1.7365,2.3728,0.54141,0.61231,0.57032,0.21348,2.09053,2.18551,2.57047,0.0016832,0.0016832,0.0016832
6,1463.58,1.79089,1.61987,2.26451,0.59185,0.65424,0.64705,0.32144,1.70627,1.91544,2.31764,0.001604,0.001604,0.001604
7,1694.66,1.74198,1.55615,2.21214,0.67101,0.72203,0.70432,0.37079,1.56051,1.54014,2.21008,0.0015248,0.0015248,0.0015248
8,1945.54,1.62422,1.40207,2.08479,0.75618,0.71491,0.76939,0.42439,1.45296,1.62154,2.06317,0.0014456,0.0014456,0.0014456
9,2187.96,1.59681,1.3704,2.07579,0.75979,0.78644,0.83202,0.50479,1.33271,1.13592,1.87406,0.0013664,0.0013664,0.0013664
10,2439.96,1.5952,1.33807,2.04846,0.68159,0.71837,0.75753,0.42759,1.45533,1.28745,2.0812,0.0012872,0.0012872,0.0012872
11,2690.61,1.53785,1.2798,2.00097,0.80329,0.74576,0.79964,0.47064,1.38313,1.21684,1.93318,0.001208,0.001208,0.001208
12,2940.78,1.5589,1.27484,2.02235,0.78261,0.76881,0.82538,0.49431,1.35261,1.13556,1.90055,0.0011288,0.0011288,0.0011288
13,3190.99,1.46972,1.18429,1.92854,0.80565,0.75932,0.84731,0.47946,1.45477,1.14158,1.93103,0.0010496,0.0010496,0.0010496
14,3442.34,1.44536,1.18161,1.91007,0.77949,0.86102,0.84382,0.51698,1.2495,1.03556,1.78741,0.0009704,0.0009704,0.0009704
15,3692.08,1.41105,1.14343,1.87514,0.81244,0.7782,0.8501,0.52018,1.30961,1.07126,1.87171,0.0008912,0.0008912,0.0008912
16,3939.88,1.2946,1.07998,1.82119,0.79997,0.82694,0.87467,0.53267,1.32176,1.00537,1.82972,0.000812,0.000812,0.000812
17,4190.01,1.26759,0.9493,1.77042,0.73363,0.86102,0.84755,0.52432,1.2831,0.93932,1.80859,0.0007328,0.0007328,0.0007328
18,4438.95,1.29684,0.94016,1.80855,0.80142,0.82373,0.86245,0.55916,1.28461,0.93003,1.82061,0.0006536,0.0006536,0.0006536
19,4682.34,1.23788,0.87421,1.76303,0.81363,0.76952,0.86444,0.55343,1.23978,0.89006,1.77015,0.0005744,0.0005744,0.0005744
20,4896.12,1.20278,0.84782,1.73215,0.78537,0.87458,0.89541,0.57649,1.28127,0.8527,1.75577,0.0004952,0.0004952,0.0004952
21,5110.48,1.18978,0.82643,1.70464,0.82743,0.83051,0.89765,0.59061,1.19363,0.83203,1.72621,0.000416,0.000416,0.000416
22,5327.53,1.1554,0.80783,1.67839,0.81182,0.84817,0.88754,0.5866,1.22973,0.83926,1.72207,0.0003368,0.0003368,0.0003368
23,5538.87,1.12283,0.7712,1.63991,0.81842,0.87797,0.90266,0.60489,1.17036,0.79982,1.67112,0.0002576,0.0002576,0.0002576
24,5784.22,1.12236,0.74607,1.6478,0.79499,0.88475,0.9037,0.59124,1.20716,0.78856,1.70311,0.0001784,0.0001784,0.0001784
25,6031.78,1.08199,0.73538,1.61075,0.83612,0.87458,0.91272,0.59832,1.20058,0.78304,1.67016,9.92e-05,9.92e-05,9.92e-05
