epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,8937.13,3.00975,2.18203,3.13446,0.75777,0.70081,0.77476,0.45804,2.61443,2.14627,3.29651,0.008416,0.008416,0.008416
26,9289.43,2.98367,2.15007,3.12922,0.76659,0.73455,0.79209,0.46333,2.63008,2.1775,3.27639,0.00835,0.00835,0.00835
27,9646.51,2.96083,2.10778,3.11564,0.77183,0.73522,0.78857,0.46379,2.65442,2.06363,3.29686,0.008284,0.008284,0.008284
28,9998.96,2.94716,2.05678,3.08985,0.76776,0.74624,0.80245,0.47792,2.60853,2.00922,3.27034,0.008218,0.008218,0.008218
29,10357.6,2.92668,2.05451,3.07363,0.77275,0.73127,0.79096,0.46657,2.62742,2.04187,3.27324,0.008152,0.008152,0.008152
30,10717.2,2.90001,2.01563,3.07167,0.76345,0.74959,0.80073,0.4771,2.62767,1.99646,3.29093,0.008086,0.008086,0.008086
31,11070.3,2.88966,1.99501,3.05104,0.77743,0.74553,0.80331,0.47695,2.63792,2.0493,3.27442,0.00802,0.00802,0.00802
32,11423.6,2.88709,1.98798,3.05104,0.77493,0.76156,0.81076,0.48346,2.60537,1.93512,3.24591,0.007954,0.007954,0.007954
33,11774.4,2.87594,1.96567,3.02127,0.76764,0.74946,0.80083,0.48676,2.58723,2.08097,3.21451,0.007888,0.007888,0.007888
34,12124.6,2.86523,1.94024,3.01731,0.78112,0.75457,0.82096,0.49207,2.66168,1.90319,3.28361,0.007822,0.007822,0.007822
35,12474.5,2.82627,1.91432,3.00213,0.7981,0.74382,0.81828,0.481,2.64989,1.9303,3.24646,0.007756,0.007756,0.007756
36,12824.8,2.82308,1.91663,2.98912,0.79677,0.74624,0.81357,0.48943,2.62164,1.86524,3.27681,0.00769,0.00769,0.00769
37,13174.5,2.82904,1.90767,3.00577,0.77025,0.76237,0.80529,0.4808,2.60279,1.96641,3.24164,0.007624,0.007624,0.007624
38,13525.3,2.81473,1.86296,2.98253,0.77805,0.76478,0.81259,0.48309,2.63771,1.94465,3.24936,0.007558,0.007558,0.007558
39,13875.9,2.80185,1.84773,2.97941,0.80653,0.75641,0.82537,0.49761,2.58053,1.85049,3.22205,0.007492,0.007492,0.007492
40,14226.3,2.78826,1.8249,2.95384,0.79189,0.76102,0.82419,0.49746,2.59181,1.88689,3.22399,0.007426,0.007426,0.007426
41,14576.8,2.76413,1.81511,2.93681,0.76129,0.77097,0.81114,0.48927,2.59169,1.98159,3.24906,0.00736,0.00736,0.00736
42,14927.2,2.76496,1.78564,2.92582,0.78333,0.77359,0.82326,0.49577,2.59354,1.89662,3.19557,0.007294,0.007294,0.007294
43,15277.2,2.74171,1.7947,2.92937,0.79372,0.77742,0.829,0.50305,2.56202,1.81948,3.17987,0.007228,0.007228,0.007228
44,15627.9,2.74735,1.78148,2.92678,0.77467,0.77634,0.82307,0.50007,2.61604,1.88694,3.19717,0.007162,0.007162,0.007162
45,15978.8,2.72677,1.76035,2.91035,0.79763,0.76922,0.82891,0.49924,2.56253,1.91067,3.1838,0.007096,0.007096,0.007096
46,16329.8,2.71195,1.7502,2.90804,0.79379,0.77609,0.83151,0.49639,2.59807,1.81398,3.19061,0.00703,0.00703,0.00703
47,16681.2,2.71274,1.72675,2.8904,0.77467,0.78831,0.82719,0.50116,2.54186,1.82391,3.17167,0.006964,0.006964,0.006964
48,17031.7,2.71817,1.73143,2.89311,0.79,0.79355,0.83503,0.51592,2.51016,1.7492,3.15585,0.006898,0.006898,0.006898
49,17382.7,2.69375,1.71002,2.86994,0.80093,0.77366,0.83438,0.5162,2.49144,1.80374,3.13539,0.006832,0.006832,0.006832
50,17738.1,2.67368,1.67104,2.85758,0.81114,0.77814,0.83762,0.50566,2.59318,1.73798,3.18508,0.006766,0.006766,0.006766
51,18088.9,2.66579,1.67806,2.8681,0.80633,0.77392,0.83182,0.5094,2.5493,1.82158,3.18072,0.0067,0.0067,0.0067
52,18440.6,2.64752,1.66016,2.85443,0.80112,0.78074,0.83635,0.5144,2.50911,1.70919,3.16495,0.006634,0.006634,0.006634
53,18791.8,2.67457,1.65302,2.85644,0.81096,0.79167,0.84274,0.51566,2.52843,1.74702,3.16015,0.006568,0.006568,0.006568
54,19142.5,2.65667,1.64751,2.83478,0.80206,0.78978,0.84263,0.51753,2.4873,1.80826,3.10337,0.006502,0.006502,0.006502
55,19500.7,2.63463,1.63478,2.83187,0.81352,0.78922,0.84596,0.52137,2.51238,1.78417,3.14126,0.006436,0.006436,0.006436
56,19853,2.63275,1.60753,2.82322,0.79185,0.79562,0.84049,0.51621,2.51752,1.8026,3.15302,0.00637,0.00637,0.00637
57,20204.2,2.63695,1.61059,2.82973,0.80054,0.77608,0.83183,0.51582,2.49872,1.76912,3.12178,0.006304,0.006304,0.006304
58,20555.4,2.60915,1.58379,2.81505,0.80837,0.79382,0.84058,0.50946,2.54786,1.69836,3.17381,0.006238,0.006238,0.006238
59,20906.2,2.5941,1.58439,2.8037,0.79246,0.7914,0.84415,0.52147,2.49754,1.71239,3.12114,0.006172,0.006172,0.006172
60,21257,2.60694,1.57974,2.79851,0.80716,0.7921,0.84502,0.5149,2.53398,1.71706,3.147,0.006106,0.006106,0.006106
61,21607.8,2.58777,1.55959,2.7843,0.80254,0.78118,0.83794,0.51361,2.52373,1.7181,3.15041,0.00604,0.00604,0.00604
62,21959.3,2.57606,1.54544,2.78318,0.81469,0.78588,0.84689,0.52303,2.46821,1.69255,3.10969,0.005974,0.005974,0.005974
63,22309.8,2.56891,1.55531,2.78986,0.82738,0.79086,0.84871,0.5192,2.52516,1.68049,3.15388,0.005908,0.005908,0.005908
64,22660.7,2.56638,1.53392,2.78669,0.79604,0.80473,0.8481,0.52625,2.50701,1.71524,3.12717,0.005842,0.005842,0.005842
65,23019.6,2.55441,1.53212,2.77758,0.80724,0.78242,0.84655,0.52836,2.48272,1.73089,3.12321,0.005776,0.005776,0.005776
66,23379.5,2.54926,1.53002,2.76157,0.8062,0.79462,0.84283,0.51413,2.52627,1.71445,3.14417,0.00571,0.00571,0.00571
67,23737.1,2.55295,1.51104,2.75849,0.81265,0.79005,0.84607,0.52344,2.49238,1.67064,3.11499,0.005644,0.005644,0.005644
68,24086.7,2.51911,1.4858,2.732,0.80634,0.81102,0.85093,0.52752,2.5,1.68463,3.13825,0.005578,0.005578,0.005578
69,24436.2,2.52791,1.49618,2.74868,0.80062,0.80565,0.8482,0.51977,2.52637,1.68099,3.15982,0.005512,0.005512,0.005512
70,24785,2.50902,1.46886,2.7323,0.81513,0.79057,0.84528,0.5207,2.51599,1.72271,3.14705,0.005446,0.005446,0.005446
71,25132.3,2.51774,1.47806,2.7435,0.8029,0.78954,0.84107,0.52011,2.51539,1.73112,3.13861,0.00538,0.00538,0.00538
72,25480.1,2.50683,1.4655,2.73463,0.81303,0.79624,0.85034,0.52234,2.51039,1.70269,3.12944,0.005314,0.005314,0.005314
73,25827.3,2.48602,1.45503,2.72053,0.82162,0.78627,0.84689,0.52226,2.51403,1.71233,3.13302,0.005248,0.005248,0.005248
74,26174.9,2.51021,1.45492,2.72351,0.80324,0.80771,0.84925,0.53125,2.49177,1.63184,3.12939,0.005182,0.005182,0.005182
75,26522.9,2.48352,1.44933,2.71391,0.80571,0.79705,0.84544,0.51256,2.57876,1.72483,3.1918,0.005116,0.005116,0.005116
76,26870.6,2.4727,1.42316,2.7057,0.80135,0.79274,0.84125,0.515,2.55768,1.67952,3.15968,0.00505,0.00505,0.00505
77,27218.3,2.46368,1.41777,2.69722,0.82119,0.79677,0.85162,0.52416,2.52287,1.66573,3.13623,0.004984,0.004984,0.004984
78,27565.7,2.44552,1.40311,2.68747,0.80558,0.81312,0.85337,0.52957,2.52336,1.74243,3.12964,0.004918,0.004918,0.004918
79,27912.5,2.4601,1.41719,2.69095,0.81022,0.80448,0.85264,0.53075,2.50365,1.69411,3.11286,0.004852,0.004852,0.004852
80,28259.6,2.43247,1.40313,2.67539,0.81439,0.79377,0.8527,0.52085,2.53776,1.68391,3.15716,0.004786,0.004786,0.004786
81,28606.2,2.43399,1.39923,2.67934,0.80828,0.79785,0.84992,0.52343,2.54706,1.6572,3.16396,0.00472,0.00472,0.00472
82,28953,2.42925,1.39156,2.66163,0.81381,0.79247,0.84905,0.51978,2.54832,1.72451,3.1712,0.004654,0.004654,0.004654
83,29300.7,2.4283,1.37154,2.66948,0.8103,0.79973,0.84738,0.52537,2.51938,1.72761,3.13948,0.004588,0.004588,0.004588
84,29647.8,2.41439,1.38764,2.6603,0.82195,0.81398,0.85505,0.53081,2.51696,1.67708,3.12253,0.004522,0.004522,0.004522
85,29995.8,2.39387,1.36123,2.64036,0.81588,0.80484,0.85097,0.52409,2.53693,1.67932,3.15267,0.004456,0.004456,0.004456
86,30342.3,2.39654,1.34682,2.63902,0.82055,0.79406,0.85031,0.51743,2.57444,1.65955,3.17607,0.00439,0.00439,0.00439
87,30690,2.39645,1.36681,2.63955,0.81636,0.79812,0.84933,0.52377,2.54026,1.5784,3.15791,0.004324,0.004324,0.004324
88,31037.1,2.38482,1.34323,2.63291,0.82752,0.79705,0.85542,0.5303,2.53008,1.62481,3.15314,0.004258,0.004258,0.004258
89,31385.6,2.38027,1.33886,2.61858,0.81,0.80448,0.85204,0.53334,2.50163,1.61522,3.13424,0.004192,0.004192,0.004192
90,31734.5,2.3731,1.33145,2.62252,0.80915,0.79731,0.8467,0.52635,2.52951,1.60445,3.16184,0.004126,0.004126,0.004126
91,32082.6,2.34049,1.28563,2.59972,0.81968,0.79839,0.85321,0.53232,2.51685,1.61937,3.15725,0.00406,0.00406,0.00406
92,32432,2.34597,1.30944,2.61754,0.81729,0.79462,0.85137,0.52949,2.52803,1.58803,3.17854,0.003994,0.003994,0.003994
93,32780.5,2.33637,1.29962,2.6159,0.82818,0.79113,0.85052,0.52699,2.53691,1.61927,3.17788,0.003928,0.003928,0.003928
94,33128.3,2.33575,1.29367,2.60332,0.81716,0.80215,0.85395,0.52948,2.53127,1.69553,3.16947,0.003862,0.003862,0.003862
95,33476,2.33081,1.28945,2.59995,0.80944,0.80081,0.84676,0.52393,2.54716,1.71951,3.17576,0.003796,0.003796,0.003796
96,33824.6,2.33476,1.29761,2.59317,0.82533,0.79059,0.84945,0.52728,2.53582,1.62862,3.16343,0.00373,0.00373,0.00373
97,34173.3,2.31399,1.28214,2.57899,0.82223,0.79202,0.84816,0.52453,2.56028,1.59977,3.18377,0.003664,0.003664,0.003664
98,34521.3,2.3185,1.27942,2.58149,0.826,0.79489,0.85147,0.5281,2.54352,1.61377,3.17668,0.003598,0.003598,0.003598
99,34869,2.30273,1.26507,2.56381,0.81491,0.79812,0.85186,0.52775,2.54072,1.55673,3.16822,0.003532,0.003532,0.003532
100,35217.5,2.30173,1.26351,2.5599,0.82018,0.79731,0.84971,0.52678,2.54335,1.57838,3.17782,0.003466,0.003466,0.003466
101,35565.6,2.28995,1.25101,2.55797,0.82162,0.79409,0.8484,0.52807,2.53609,1.56221,3.1819,0.0034,0.0034,0.0034
102,35913.4,2.26587,1.23522,2.54601,0.82408,0.79587,0.84952,0.52654,2.55046,1.52449,3.1911,0.003334,0.003334,0.003334
103,36261.6,2.27056,1.22211,2.55469,0.82729,0.79462,0.85088,0.52776,2.54881,1.54152,3.19513,0.003268,0.003268,0.003268
104,36610.7,2.25389,1.22706,2.54496,0.82031,0.79523,0.84691,0.52405,2.57059,1.57004,3.21323,0.003202,0.003202,0.003202
