epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.077,7.4414,10.1799,8.43345,0.00116,0.14758,0.00096,0.00026,6.21101,9.58557,8.46189,0.00332715,0.00332715,0.00332715
2,630.285,6.28756,7.33821,7.03527,0.23589,0.08952,0.1028,0.03185,4.47115,6.06655,6.00397,0.00661652,0.00661652,0.00661652
3,946.895,4.71549,5.25733,4.96299,0.31503,0.32473,0.2558,0.10318,3.84181,5.10669,4.84445,0.0098619,0.0098619,0.0098619
